赛道: cota, 会话: TZCC x TBR | COTA Grand Prix Racing Server
排名,车号,主车手,其他车手,车型,组别,完赛时间,差距,JSON罚时(ms),手动罚时(ms),罚时合计(ms),含罚时完赛(参考),圈数,状态,取消资格原因
1,119,mangoox,-,阿斯顿·马丁 V8 Vantage (2019),GT3,60:03.321,-,0,0,0,60:03.321,28,冠军,-
2,87,Ian Zhao,-,梅赛德斯-AMG GT3 2020,GT3,61:35.219,+91.898,0,0,0,61:35.219,28,,-
3,18,SakuLi,-,法拉利 488 GT3 Evo 2020,GT3,61:54.107,+110.786,0,0,0,61:54.107,28,,-
4,14,L Serendipity,-,法拉利 296 GT3,GT3,62:02.822,+119.501,0,0,0,62:02.822,28,,-
5,218,DeathSky,-,法拉利 296 GT3,GT3,62:02.988,+119.667,0,0,0,62:02.988,28,,-
6,19,ARS T,-,梅赛德斯-AMG GT3 2020,GT3,61:59.253,+115.932,0,0,0,61:59.253,27,,-
7,898,curry klay,-,阿斯顿·马丁 V8 Vantage (2019),GT3,61:16.363,+73.042,0,0,0,61:16.363,27,,-
8,7,龍之血刃 LZXR,-,法拉利 296 GT3,GT3,61:40.830,+97.509,0,0,0,61:40.830,27,,-
9,789,Totokei,-,雷克萨斯 RC F GT3,GT3,60:24.947,+21.626,0,0,0,60:24.947,27,,-
10,69,FranzHerman,-,法拉利 296 GT3,GT3,60:26.075,+22.754,0,0,0,60:26.075,27,,-
11,9,Gary.LLL,-,宾利 Continental GT3 2018,GT3,60:39.101,+35.780,0,0,0,60:39.101,27,,-
12,70,sunfly Lai,-,法拉利 296 GT3,GT3,60:58.047,+54.726,0,0,0,60:58.047,27,,-
13,107,ASP m107a1,-,法拉利 296 GT3,GT3,61:39.014,+95.693,0,0,0,61:39.014,27,,-
14,215,xuan YIWEN,-,法拉利 296 GT3,GT3,61:41.228,+97.907,0,0,0,61:41.228,27,,-
15,773,tanthink TANXXXX,-,宝马 M4 GT3,GT3,61:46.800,+103.479,0,0,0,61:46.800,27,,-
16,30,Sean Wong,-,宝马 M4 GT3,GT3,60:33.718,+30.397,0,0,0,60:33.718,26,,-
17,782,Hwangzhun,-,宝马 M4 GT3,GT3,60:04.520,+1.199,0,0,0,60:04.520,25,,-
18,296,Vector,-,法拉利 296 GT3,GT3,60:06.913,+3.592,0,0,0,60:06.913,25,,-
19,17,Legend Miss,-,梅赛德斯-AMG GT3 2020,GT3,54:20.314,+-344.0-7,0,0,0,54:20.314,24,,-
20,91,J1nBin_Sh1N,-,法拉利 296 GT3,GT3,61:47.361,+104.040,0,0,0,61:47.361,24,,-
21,853,K Doraemon,-,宝马 M4 GT3,GT3,60:43.382,+40.061,0,0,0,60:43.382,23,,-
22,11,AllenChen,-,宾利 Continental GT3 2018,GT3,47:44.003,+-740.-318,0,0,0,47:44.003,21,,-
23,46,TGIFT,-,宝马 M4 GT3,GT3,46:57.325,+-786.-996,0,0,0,46:57.325,19,,-
24,217,Yelo,-,保时捷 992 GT3 R,GT3,37:43.641,+-1340.-680,0,0,0,37:43.641,17,,-
25,96,Marino,-,宝马 M4 GT3,GT3,29:00.679,+-1863.-642,0,0,0,29:00.679,12,,-
26,16,ince P,-,法拉利 296 GT3,GT3,22:26.968,+-2257.-353,0,0,0,22:26.968,9,,-
27,8,R D,-,法拉利 296 GT3,GT3,20:29.720,+-2374.-601,0,0,0,20:29.720,9,,-
28,63,L 给我擦皮鞋,-,兰博基尼 Huracan Evo2,GT3,24:16.494,+-2147.-827,0,0,0,24:16.494,9,,-
29,99,SkyCheng,-,阿斯顿·马丁 V8 Vantage (2019),GT3,18:03.924,+-2520.-397,0,0,0,18:03.924,8,,-
30,222,Haywood Tsui,-,法拉利 296 GT3,GT3,11:01.309,+-2943.-12,0,0,0,11:01.309,5,,-
31,1,AllenellA,-,梅赛德斯-AMG GT3 2020,GT3,11:04.843,+-2939.-478,0,0,0,11:04.843,5,,-
32,51,b.chen,-,法拉利 296 GT3,GT3,10:33.223,+-2971.-98,0,0,0,10:33.223,4,,-
33,33,Tourqi|NXQR,-,法拉利 296 GT3,GT3,-:--.---,,0,0,0,-,0,,-
34,720,ince P,-,迈凯伦 720S GT3 Evo 2023,GT3,-:--.---,,0,0,0,-,0,,-
35,250,大蛋挞,-,迈凯伦 720S GT3 Evo 2023,GT3,-:--.---,,0,0,0,-,0,,-
36,97,TGIFT,-,保时捷 992 GT3 R,GT3,-:--.---,,0,0,0,-,0,,-
37,852,龍之血刃 LZXR,-,法拉利 488 GT3 Evo 2020,GT3,-:--.---,,0,0,0,-,0,,-
38,47,TZCC,-,梅赛德斯-AMG GT3 2020,GT3,-:--.---,,0,0,0,-,0,,-
DSQ,15,开心元元,-,雷克萨斯 RC F GT3,GT3,34:25.470,-,0,0,0,-,15,取消资格,Cutting
DSQ,111,YL joy518,-,迈凯伦 720S GT3 Evo 2023,GT3,24:25.237,-,0,0,0,-,11,取消资格,Cutting
